Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1.6436673	0.018007055	-1.5094739	-1.6678691	-1.6259896	1.1920929e-07	-1.6259894	-1.6259894	1.0	1.0	999	8.2917185	4.704793	25.134628	-0.033546355	8.281794	4.723303	24.901114	-0.06394814	-27.48507	5.882327	1.3127594	-44.13919	-14.661156	10.860712	3647.800222635269
2	-1.6478567	0.015321876	-1.5449251	-1.6689837	-1.6589298	0.0	-1.6589298	-1.6589298	1.0	1.0	1999	17.104742	4.066058	33.361168	-24.353231	17.101326	4.0794625	33.03512	-23.928055	-14.941469	7.132515	17.57742	-42.31027	-23.559769	8.516609	7259.185275316238
3	-1.647382	0.014882181	-1.5480278	-1.668085	-1.6225274	0.0	-1.6225274	-1.6225274	1.0	1.0	2999	16.989565	5.2904553	27.13702	-41.6578	16.993795	5.2756276	27.017706	-40.105854	-9.179063	6.092639	14.411507	-35.205574	-23.558996	5.626616	10873.489175796509
4	-1.6359307	0.021129902	-1.5196702	-1.6658288	-1.6471374	1.1920929e-07	-1.6471375	-1.6471375	1.0	1.0	3999	5.326894	9.016363	21.713465	-80.363914	5.3269014	9.013134	21.585217	-80.56541	-7.5825057	5.863089	14.78373	-34.524426	-13.089205	4.717838	14501.831573963165
5	-1.6040763	0.04249683	-1.3593596	-1.6618168	-1.4928801	0.0	-1.4928801	-1.4928801	1.0	1.0	4999	-18.799465	12.751318	5.130375	-125.51818	-18.799006	12.752237	5.75718	-125.867714	-2.9444072	5.743823	15.785916	-32.330307	6.5672445	4.2457685	18157.101182460785
6	-1.5602129	0.0620207	-1.2229452	-1.6559241	-1.4969044	0.0	-1.4969044	-1.4969044	1.0	1.0	5999	-50.506535	17.623316	-15.599303	-188.05493	-50.50611	17.62517	-15.428126	-183.35861	8.572009	5.6563635	26.95398	-20.052013	33.18142	5.119836	21803.029987335205
7	-1.5376575	0.066705145	-1.2357049	-1.6482627	-1.4431837	1.1920929e-07	-1.4431835	-1.4431835	1.0	1.0	6999	-82.66739	19.921629	-43.749405	-230.66866	-82.66779	19.919403	-43.278835	-227.29068	11.93491	4.968936	28.76853	-18.203632	63.3402	6.02793	25401.608070611954
8	-1.5547848	0.06219308	-1.2337087	-1.6554587	-1.4376007	1.1920929e-07	-1.4376006	-1.4376006	1.0	1.0	7999	-109.09127	22.424149	-69.355675	-268.42664	-109.09288	22.42167	-70.14748	-266.74472	16.181355	5.137401	32.64082	-12.276887	88.07149	6.461919	28996.426385879517
9	-1.559641	0.054204874	-1.25892	-1.6595314	-1.5190048	0.0	-1.5190048	-1.5190048	1.0	1.0	8999	-129.92645	24.450611	-92.83089	-300.98297	-129.92734	24.448835	-92.08192	-298.0286	20.79123	5.1687555	39.148277	-3.6209126	108.07014	6.618838	32583.152660131454
