Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-0.5578681	0.044208817	-0.11799603	-0.5623432	-0.56170213	0.0	-0.56170213	-0.56170213	1.0	1.0	99	-0.27903882	0.19570524	0.62734467	-0.9184254	0.30043405	0.02406009	698.5508716106415
2	-0.122754544	0.04418073	-0.116881765	-0.5623026	-0.56171364	0.0	-0.56171364	-0.56171364	1.0	1.0	199	-0.46726328	0.18355224	-0.00089294463	-0.72760576	0.5847994	3.538446e-06	1625.9754593372345
3	-0.11825206	0.00068844395	-0.11689295	-0.120167896	-0.56171364	0.0	-0.56171364	-0.56171364	1.0	1.0	299	-0.6185747	0.22787373	-0.28679457	-1.0171278	0.8769766	5.1076177e-07	2543.8981924057007
4	-0.11825164	0.0005821299	-0.11676575	-0.11951686	-0.56171364	0.0	-0.56171364	-0.56171364	1.0	1.0	399	-0.8473917	0.21375059	-0.57726216	-1.2982433	1.1618706	6.7407075e-07	3462.097678899765
5	-0.118235484	0.00061763084	-0.11698381	-0.120146275	-0.56171364	0.0	-0.56171364	-0.56171364	1.0	1.0	499	-1.0967793	0.20160945	-0.8554823	-1.5719095	1.4387081	7.637014e-05	4380.911773681641
6	-0.11832759	0.0007090268	-0.116870664	-0.12027506	-0.5595303	0.0	-0.5595303	-0.5595303	1.0	1.0	599	-1.3466725	0.18800691	-1.1313541	-1.8452756	1.711194	0.0001471875	5295.731334447861
7	-0.11828863	0.00068232464	-0.116893634	-0.1198491	-0.55950314	0.0	-0.55950314	-0.55950314	1.0	1.0	699	-1.604557	0.17486228	-1.3998461	-2.1142983	1.9820443	0.00012294637	6218.762974023819
8	-0.11841298	0.000628144	-0.11672965	-0.11988477	-0.55950314	0.0	-0.55950314	-0.55950314	1.0	1.0	799	-1.8659879	0.16938172	-1.6633875	-2.3884983	2.2520978	0.00020636212	7140.390208244324
