Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.6407273	0.020195778	-1.5271364	-1.6639843	1.0	-0.07330085	7.450581e-09	-0.07330086	-0.07330086	100	-1.1467934e-06	2.6371918	-0.12173081	-2.58892	0.9189386	0.016644135	0.39	6.0	494.3708837032318
1	-1.6383455	0.021590356	-1.5582088	-1.6667931	1.0	-1.8880821	2.3841858e-07	-1.8880824	-1.8880824	200	5.4836274e-08	2.3326044	-0.0939711	-2.1540928	0.91933936	0.015036659	0.18	6.0	1142.5271673202515
2	-1.6449376	0.015648339	-1.560383	-1.6655996	1.0	-3.2432175	4.7683716e-07	-3.243217	-3.243217	300	-2.1457673e-08	1.9905367	-0.11472806	-1.541751	0.9191283	0.018269043	0.27	8.0	1804.5903141498566
3	-1.6404252	0.01879536	-1.5404016	-1.6644447	1.0	-4.4420633	4.7683716e-07	-4.442063	-4.442063	400	4.2915346e-08	1.6392715	-0.11817242	-1.0124207	0.9188454	0.016360473	0.2	7.0	2462.7193915843964
4	-1.6391339	0.02740957	-1.4621688	-1.6662287	1.0	-5.4737043	4.7683716e-07	-5.473705	-5.473705	500	-4.7683717e-08	1.3833878	-0.14832751	-0.6180241	0.918729	0.016187897	0.61	14.0	3129.856276035309
5	-1.6397164	0.01933018	-1.5492982	-1.6642561	1.0	-6.307168	9.536743e-07	-6.307167	-6.307167	600	-9.536743e-08	1.2235956	-0.11012067	-0.2580704	0.919396	0.01551857	0.13	6.0	3795.680128097534
6	-1.6415477	0.01838725	-1.5764458	-1.6667088	1.0	-6.853784	1.9073486e-06	-6.853786	-6.853786	700	2.3841857e-09	1.3605249	-0.12595136	-0.10877919	0.91957	0.016485902	0.31	6.0	4468.1044244766235
7	-1.6379079	0.028508192	-1.486905	-1.6684363	1.0	-7.2080493	0.0	-7.2080493	-7.2080493	800	1.7881393e-07	1.4251425	-0.10797356	-0.041444063	0.9196884	0.017900657	0.21	4.0	5144.562382936478
8	-1.6384982	0.021968354	-1.5398095	-1.6666372	1.0	-7.423506	9.536743e-07	-7.423505	-7.423505	900	2.8610229e-08	1.590503	-0.138163	-0.00026583672	0.9197925	0.020197602	0.5	7.0	5801.949261426926
9	-1.6424394	0.018157922	-1.5591656	-1.6662495	1.0	-7.4411354	4.7683716e-07	-7.441135	-7.441135	1000	3.576279e-08	1.6656531	-0.16078027	-0.10525572	0.91992617	0.015271797	0.81	14.0	6451.844060182571
10	-1.6357764	0.027060471	-1.5228332	-1.6650127	1.0	-7.114302	9.536743e-07	-7.114301	-7.114301	1100	-2.002716e-07	2.3463395	-0.13434452	-0.4861406	0.92038924	0.021521226	0.41	6.0	7124.049319267273
11	-1.6430441	0.017931247	-1.542002	-1.6667703	1.0	-6.398991	0.0	-6.398991	-6.398991	1200	-1.5258789e-07	2.069095	-0.14183506	-0.5740696	0.9205965	0.016109047	0.46	5.0	7797.447265863419
12	-1.6375732	0.028396446	-1.5214487	-1.6692662	1.0	-5.6005473	1.4305115e-06	-5.6005487	-5.6005487	1300	-2.0980835e-07	2.371437	-0.14962511	-1.0006349	0.92075354	0.015281334	0.76	11.0	8456.294796943665
13	-1.6422023	0.018158827	-1.5475837	-1.6675503	1.0	-4.5241804	0.0	-4.5241804	-4.5241804	1400	2.2649765e-07	2.3849082	-0.15542303	-1.272615	0.92090166	0.022573395	0.7	9.0	9106.895361185074
14	-1.6431618	0.020736145	-1.549798	-1.6686026	1.0	-3.3737476	2.3841858e-07	-3.3737473	-3.3737473	1500	3.540516e-07	1.4568887	-0.14424607	-0.71422553	0.9208801	0.018001443	0.55	5.0	9761.809969425201
15	-1.6427238	0.021056598	-1.5543725	-1.6659647	1.0	-2.5691564	0.0	-2.5691564	-2.5691564	1600	9.059906e-08	0.712413	-0.15254657	-0.3015038	0.92093426	0.015751801	0.65	6.0	10425.35584974289
16	-1.6424259	0.02584138	-1.5096513	-1.6671156	1.0	-2.0586238	2.3841858e-07	-2.0586236	-2.0586236	1700	-1.8119812e-07	0.3968991	-0.15308623	-0.15174602	0.92088807	0.026210632	0.68	6.0	11090.769884109497
17	-1.6465466	0.015696164	-1.5748209	-1.6669616	1.0	-1.6946918	2.3841858e-07	-1.694692	-1.694692	1800	-2.861023e-07	0.23684025	-0.12432871	-0.035703704	0.9208213	0.016744614	0.22	2.0	11768.940888166428
